OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus
Otu002784,10,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu002786,11,Bacteria,OP11,OP11_class_incertae_sedis,OP11_order_incertae_sedis,OP11_family_incertae_sedis,OP11_genus_incertae_sedis
Otu002787,36,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu002792,8,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu002795,5,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002796,5,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002798,9,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002799,10,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002802,8,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002804,5,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,unclassified
Otu002805,8,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002806,12,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu002809,5,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax
Otu002810,71,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002816,7,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002819,6,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu002824,148,Bacteria,Chlorobi,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
Otu002829,10,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu002831,9,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu002832,8,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,unclassified
Otu002838,15,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002841,7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,unclassified,unclassified
Otu002842,14,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002843,16,Bacteria,Chloroflexi,unclassified,unclassified,unclassified,unclassified
Otu002851,5,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified
Otu002852,9,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu002854,13,Bacteria,Firmicutes,unclassified,unclassified,unclassified,unclassified
Otu002855,7,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia
Otu002859,20,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu002860,29,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu002862,30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Stella
Otu002863,7,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu002864,17,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002865,10,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu002868,8,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Otu002869,7,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002870,17,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002871,6,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002872,6,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu002873,12,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu002874,5,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Zavarzinella
